Date,Time,State,PuFrom,Address,Street,Airport,Location in Airport
2014.08.30,03:30,NY                                                                                                                           ,MANHATTAN,20,WATERSIDE PLAZA     ,,
2014.08.19,07:15,NY                                                                                                                           ,MANHATTAN,325,NORTH END AVE       ,,
2014.08.25,08:30,NY                                                                                                                           ,MANHATTAN,15,W 11 ST             ,,
2014.08.25,04:15,NY                                                                                                                           ,MANHATTAN,361,E 10 ST             ,,
2014.08.22,07:45,NY                                                                                                                           ,MANHATTAN,99,BATTERY PL          ,,
2014.08.10,09:30,NY                                                                                                                           ,MANHATTAN,375,SOUTH END AVE       ,,
2014.08.18,03:45,NY                                                                                                                           ,MANHATTAN,170,E 112 ST            ,,
2014.08.18,06:45,NY                                                                                                                           ,MANHATTAN,435,E 14 ST             ,,
2014.08.30,07:00,NY                                                                                                                           ,MANHATTAN,400,E 56 ST             ,,
2014.08.15,05:00,NY                                                                                                                           ,MANHATTAN,201,E 28 ST             ,,
2014.08.21,04:00,NY                                                                                                                           ,MANHATTAN,309,W 57 ST             ,,
2014.08.29,05:00,NY                                                                                                                           ,MANHATTAN,312,11 AVE              ,,
2014.08.18,04:45,NY                                                                                                                           ,MANHATTAN,40,HARRISON ST         ,,
2014.08.16,07:15,NY                                                                                                                           ,MANHATTAN,111,Worth St            ,,
2014.08.08,04:00,NY                                                                                                                           ,MANHATTAN,332,E 15 ST             ,,
2014.08.26,06:45,NY                                                                                                                           ,MANHATTAN,182,DUANE ST            ,,
2014.08.30,09:30,NY                                                                                                                           ,MANHATTAN,124,W HOUSTON ST        ,,
2014.09.14,09:24,NY                                                                                                                           ,MANHATTAN,790,12 AVE              ,,
2014.08.16,04:52,NY                                                                                                                           ,MANHATTAN,50,VANDERBILT AVE      ,,
2014.08.31,09:30,NY                                                                                                                           ,MANHATTAN,200,SPRING ST           ,,
2014.08.31,11:00,NY                                                                                                                           ,MANHATTAN,27,W 11 St             ,,
2014.08.28,04:00,NY                                                                                                                           ,MANHATTAN,300,W 55 ST             ,,
2014.08.28,07:14,NY                                                                                                                           ,JFK,      ,                    ,JFK,JET BLUE DOMESTIC PICK-UP AREA 3
2014.08.28,06:15,NY                                                                                                                           ,MANHATTAN,225,E 4 ST              ,,
2014.09.07,07:52,NY                                                                                                                           ,JFK,      ,                    ,JFK,EL AL PICK-UP AREA C
2014.08.20,05:30,NY                                                                                                                           ,MANHATTAN,220,E 65 ST             ,,
2014.08.27,04:15,NY                                                                                                                           ,MANHATTAN,210,Sullivan St         ,,
2014.08.27,06:15,NY                                                                                                                           ,MANHATTAN,520,W 43 ST             ,,
2014.08.29,07:30,NY                                                                                                                           ,MANHATTAN,60,W 23 ST             ,,
2014.08.23,10:15,NY                                                                                                                           ,MANHATTAN,375,SOUTH END AVE       ,,
2014.08.30,06:00,NY                                                                                                                           ,MANHATTAN,110,BLEECKER ST         ,,
2014.08.30,04:45,NY                                                                                                                           ,MANHATTAN,395,SOUTH END AVE       ,,
2014.09.03,07:30,NY                                                                                                                           ,MANHATTAN,80,5 AVE               ,,
2014.09.03,04:15,NY                                                                                                                           ,MANHATTAN,280,PARK AVE S          ,,
2014.08.20,11:15,NY                                                                                                                           ,QUEENS,3138,38 St               ,,
2014.09.07,04:37,NY                                                                                                                           ,MANHATTAN,320,PEARL ST            ,,
2014.09.02,03:45,NY                                                                                                                           ,MANHATTAN,120,E 87 ST             ,,
2014.09.02,06:15,NY                                                                                                                           ,MANHATTAN,100,MAIDEN LA           ,,
2014.09.11,07:45,NY                                                                                                                           ,MANHATTAN,145,E 27 ST             ,,
2014.09.11,04:15,NY                                                                                                                           ,MANHATTAN,433,W 43 ST             ,,
2014.09.09,07:00,NY                                                                                                                           ,QUEENS,3044,29 ST               ,,
2014.09.01,08:15,NY                                                                                                                           ,MANHATTAN,811,7 AVE               ,,
2014.08.23,09:25,NY                                                                                                                           ,MANHATTAN,116,E 30 ST             ,,
2014.08.23,13:30,NY                                                                                                                           ,MANHATTAN,245,E 124 ST            ,,
2014.08.25,06:20,NY                                                                                                                           ,JFK,      ,                    ,JFK,DELTA TERM 2 CURBSIDE
2014.09.01,09:30,NY                                                                                                                           ,MANHATTAN,88,LEONARD ST          ,,
2014.09.01,04:15,NY                                                                                                                           ,MANHATTAN,42,W 73 ST             ,,
2014.09.01,05:59,NY                                                                                                                           ,JFK,      ,                    ,JFK,JET BLUE DOMESTIC PICK-UP AREA 3
2014.08.23,04:00,NY                                                                                                                           ,MANHATTAN,215,W 88 ST             ,,
2014.09.11,05:45,NY                                                                                                                           ,MANHATTAN,236,W 15 ST             ,,
2014.08.21,06:30,NY                                                                                                                           ,MANHATTAN,1,CHRISTOPHER ST      ,,
2014.08.31,04:30,NY                                                                                                                           ,QUEENS,5012,VERNON BLVD         ,,
2014.09.08,06:45,NY                                                                                                                           ,MANHATTAN,28,E 22 ST             ,,
2014.09.08,04:00,NY                                                                                                                           ,MANHATTAN,90,WILLIAM ST          ,,
2014.09.09,04:00,NY                                                                                                                           ,MANHATTAN,183,W 10 ST             ,,
2014.09.05,08:30,NY                                                                                                                           ,MANHATTAN,440,E 23 ST             ,,
2014.09.15,04:15,NY                                                                                                                           ,MANHATTAN,309,E 49 ST             ,,
2014.09.05,06:15,NY                                                                                                                           ,MANHATTAN,155,E 29 ST             ,,
2014.09.06,04:15,NY                                                                                                                           ,MANHATTAN,333,E 34 ST             ,,
2014.09.04,04:15,NY                                                                                                                           ,MANHATTAN,154,W 27 ST             ,,
2014.08.26,04:15,NY                                                                                                                           ,MANHATTAN,2025,BROADWAY            ,,
2014.08.29,04:00,NY                                                                                                                           ,MANHATTAN,21,E 52 ST             ,,
2014.09.02,05:00,NY                                                                                                                           ,MANHATTAN,312,11 AVE              ,,
2014.09.04,08:04,NJ,EWR,      ,                    ,EWR,UNITED DOOR 2
2014.09.07,07:00,NY                                                                                                                           ,MANHATTAN,30,E 9 ST              ,,
2014.09.09,05:45,NY                                                                                                                           ,MANHATTAN                               ,200,RECTOR PL           ,,
2014.09.07,08:50,NY                                                                                                                           ,MANHATTAN,641,12 AVE              ,,
2014.09.13,06:30,NY                                                                                                                           ,QUEENS,1040,46 RD               ,,
